"Año","Tipo de elección","Cod_depto","Departamento","Cod_municipio","Municipio","Zona","Cod_puesto","Puesto de votación","Sexo","","","Potencial electoral","Rangos Etareos","","","","","","","","","","",""
"","","","","","","","","","Hombres","Mujeres","Otros","","18-20","21-25","26-30","31-35","36-40","41-45","46-50","51-55","56-60","mas de 60","sin fecha de nacimiento","extranjero"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","02","25","UNIVERSIDAD DE LA SALLE","570","444","0","1.014","91","106","154","201","140","82","55","54","43","80","0","8"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","03","01","CAMILO TORRES","3.951","3.659","0","7.610","759","634","1067","1226","728","554","484","550","494","1108","0","6"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","03","02","LA PERSEVERANCIA","3.214","3.428","0","6.642","295","1191","1258","810","469","345","376","418","361","1119","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","03","03","POLICARPA SALAVARRIETA","2.549","2.595","0","5.144","125","282","644","513","430","475","455","469","451","1300","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","03","04","PALACIO SAN FRANCISCO","6.537","4.813","0","11.350","174","669","1135","924","1064","1102","1094","1228","1151","2808","0","1"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","03","05","BIBLIOTECA DISTRITAL ANTONIO N","2.526","1.803","0","4.329","77","255","480","453","381","392","420","496","419","956","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","03","06","LOS LACHES","3.437","3.606","0","7.043","712","1162","749","746","531","452","488","576","526","1101","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","03","07","CENTRO ORIENTE","1.863","2.143","0","4.006","211","375","282","369","394","310","353","380","348","984","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","03","08","SAN BERNARDO","2.471","2.538","0","5.009","352","576","509","422","328","360","383","460","445","1174","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","03","09","LAS CRUCES","5.408","5.321","0","10.729","542","1257","1026","1010","800","794","949","966","897","2488","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","03","10","GIRARDOT","1.848","2.142","0","3.990","428","711","532","493","285","259","226","242","226","588","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","03","11","EL CONSUELO","3.095","3.661","0","6.756","369","932","899","619","535","530","640","632","497","1103","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","03","12","MEDICINA LEGAL","1.466","1.042","0","2.508","43","168","225","253","340","285","279","281","247","387","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","03","13","LAS AGUAS","2.444","2.266","0","4.710","501","718","473","463","442","325","354","340","345","749","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","03","14","LAS NIEVES","3.771","3.347","0","7.118","239","591","578","731","687","651","657","651","753","1580","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","03","15","EL VERJON","220","201","0","421","58","39","94","40","36","32","19","23","22","58","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","03","16","EL GRAN SAN","511","514","0","1.025","78","130","110","117","106","115","87","107","77","97","0","1"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","03","17","COLEGIO RAMON JIMENO","34","45","0","79","19","9","6","9","6","7","7","5","6","5","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","03","18","COLEGIO LA GIRALDA","504","664","0","1.168","94","106","125","130","126","122","107","94","81","183","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","03","19","UNIVERSIDAD JORGE TADEO LOZANO","912","1.138","0","2.050","282","236","299","228","197","138","163","159","109","236","0","3"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","03","20","UNIVERSIDAD INCCA DE COLOMBIA","259","254","0","513","47","57","45","50","51","38","45","48","56","76","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","01","LAS BRISAS","2.961","2.757","0","5.718","460","960","1166","1298","311","260","265","289","222","487","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","04","02","SANTA ANA SUR","4.300","4.722","0","9.022","1785","1237","1203","724","432","445","459","588","539","1610","0","0"
